FLUX PREDICTION AT ND280
#bin  #bin_enu[GeV/c]  #Flux[cm^{-2}/50MeV]
0  [0,0.05]  9.67391e+09
207  [17,18]  5.55297e+06
208  [18,19]  2.71028e+06
209  [19,20]  689817
210  [20,21]  280633
211  [21,22]  194330
212  [22,23]  190158
213  [23,24]  91417
214  [24,25]  0
215  [25,26]  0
216  [26,27]  0
217  [27,28]  0
218  [28,29]  0
219  [29,30]  0
