E_{#nu} (#Delta) ,0 - 0.8,0.8 - 1,1 - 1.2,1.2 - 1.5,1.5 - 1.8,1.8 - 2.1,2.1 - 2.55,2.55 - 3,3 - 3.6,3.6 - 4.35,4.35 - 6,
3.6 - 4.35,1.23065,6.7703,12.9306,21.1084,33.7882,40.8122,44.291,63.6833,72.0624,73.6218,121.934,
4.35 - 6,1.51721,8.26243,16.0796,26.8269,43.4561,53.8917,60.2236,91.1041,110.429,121.934,242.306,

Theory cross-section covariance matrix (x10^{-40} cm^2/nucleon)^2
0 - 0.8,0.0264115,0.180928,0.302753,0.37584,0.473699,0.487982,0.397237,0.789386,0.734633,0.633261,0.640153,
0.8 - 1,0.180928,1.45634,2.42391,2.95302,3.80906,4.02185,3.15537,4.86434,4.44376,3.88238,3.08177,
1 - 1.2,0.302753,2.42391,4.11097,5.09931,6.67626,7.12238,5.80375,8.44511,7.84186,6.97423,5.98055,
1.2 - 1.5,0.37584,2.95302,5.09931,6.6429,9.41593,10.9009,9.94988,10.756,11.5805,11.6935,15.0275,
1.5 - 1.8,0.473699,3.80906,6.67626,9.41593,15.8523,21.5521,22.7062,12.2591,19.5282,24.8484,47.6261,
1.8 - 2.1,0.487982,4.02185,7.12238,10.9009,21.5521,33.1487,38.0316,10.0057,26.6498,39.8774,91.837,
2.1 - 2.55,0.397237,3.15537,5.80375,9.94988,22.7062,38.0316,46.9937,6.01346,28.4104,46.8764,119.972,
2.55 - 3,0.789386,4.86434,8.44511,10.756,12.2591,10.0057,6.01346,42.5456,39.8167,34.7379,36.0343,
3 - 3.6,0.734633,4.44376,7.84186,11.5805,19.5282,26.6498,28.4104,39.8167,55.9686,65.9883,123.233,
3.6 - 4.35,0.633261,3.88238,6.97423,11.6935,24.8484,39.8774,46.8764,34.7379,65.9883,89.0192,193.501,
4.35 - 6,0.640153,3.08177,5.98055,15.0275,47.6261,91.837,119.972,36.0343,123.233,193.501,494.701,

FSI covariance matrix (x10^{-40} cm^2/nucleon)^2
0 - 0.8,0.00272697,0.0140073,0.0152752,0.0197484,0.0297205,0.0463979,0.0339502,0.0418207,0.0286755,0.01179,0.0286985,
0.8 - 1,0.0140073,0.108115,0.112392,0.140291,0.19662,0.267834,0.19458,0.228257,0.209077,0.0469308,0.190049,
1 - 1.2,0.0152752,0.112392,0.183087,0.218932,0.26113,0.308849,0.242388,0.344488,0.32744,0.246864,0.617989,
1.2 - 1.5,0.0197484,0.140291,0.218932,0.345241,0.444121,0.554493,0.435243,0.678098,0.690028,0.668395,1.51369,
1.5 - 1.8,0.0297205,0.19662,0.26113,0.444121,0.644706,0.888731,0.694896,1.0376,1.03283,0.995469,2.06547,
1.8 - 2.1,0.0463979,0.267834,0.308849,0.554493,0.888731,1.39814,1.08346,1.54497,1.43837,1.34425,2.58094,
2.1 - 2.55,0.0339502,0.19458,0.242388,0.435243,0.694896,1.08346,0.970349,1.53456,1.46278,1.51602,2.82404,
2.55 - 3,0.0418207,0.228257,0.344488,0.678098,1.0376,1.54497,1.53456,2.74427,2.71373,3.16145,6.04666,
3 - 3.6,0.0286755,0.209077,0.32744,0.690028,1.03283,1.43837,1.46278,2.71373,2.9904,3.55548,6.67865,
3.6 - 4.35,0.01179,0.0469308,0.246864,0.668395,0.995469,1.34425,1.51602,3.16145,3.55548,4.95023,9.20034,
4.35 - 6,0.0286985,0.190049,0.617989,1.51369,2.06547,2.58094,2.82404,6.04666,6.67865,9.20034,19.3541,

Detector covariance matrix (x10^{-40} cm^2/nucleon)^2
0 - 0.8,0.00782108,0.033053,0.0603318,0.109857,0.137431,0.113012,0.0890879,0.0483224,-0.00490379,-0.0405139,-0.298954,
0.8 - 1,0.033053,0.157134,0.280351,0.483357,0.617321,0.493934,0.406031,0.248128,0.00765363,-0.143157,-1.21775,
1 - 1.2,0.0603318,0.280351,0.544127,0.972417,1.27798,1.09779,0.935286,0.734112,0.309637,0.0372703,-1.89003,
1.2 - 1.5,0.109857,0.483357,0.972417,1.94562,2.6432,2.33914,2.08605,1.82529,1.1442,0.566571,-2.9288,
1.5 - 1.8,0.137431,0.617321,1.27798,2.6432,3.89781,3.61987,3.37263,3.42502,2.68073,1.89848,-1.94426,
1.8 - 2.1,0.113012,0.493934,1.09779,2.33914,3.61987,3.72565,3.52287,3.9906,3.45239,2.79233,0.336419,
2.1 - 2.55,0.0890879,0.406031,0.935286,2.08605,3.37263,3.52287,3.69382,4.58082,4.3633,3.73059,2.74578,
2.55 - 3,0.0483224,0.248128,0.734112,1.82529,3.42502,3.9906,4.58082,6.76656,6.95788,6.41245,8.3469,
3 - 3.6,-0.00490379,0.00765363,0.309637,1.1442,2.68073,3.45239,4.3633,6.95788,8.01163,7.68399,12.0462,
3.6 - 4.35,-0.0405139,-0.143157,0.0372703,0.566571,1.89848,2.79233,3.73059,6.41245,7.68399,7.88471,13.6793,
4.35 - 6,-0.298954,-1.21775,-1.89003,-2.9288,-1.94426,0.336419,2.74578,8.3469,12.0462,13.6793,33.3707,
