cos #theta_{#mu} ,0.3 - 0.62,0.62 - 0.72,0.72 - 0.78,0.78 - 0.83,0.83 - 0.87,0.87 - 0.9,0.9 - 0.93,0.93 - 0.95,0.95 - 0.96,0.96 - 0.98,0.98 - 0.99,0.99 - 1,
0.98 - 0.99,0.152545,0.114221,0.14043,0.0103009,-0.133258,0.485981,1.08183,1.11074,1.16973,1.68876,1.96079,3.15303,
0.99 - 1,0.524358,0.354537,0.490897,0.205126,0.42207,1.7201,2.65467,2.83206,2.67877,3.31676,3.15303,9.03063,

Detector covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.62,0.0341814,0.0289922,0.0370045,0.0403022,0.0636314,0.0736944,0.113698,0.156077,0.18371,0.187824,0.246408,0.222375,
0.62 - 0.72,0.0289922,0.125769,0.0951112,0.10537,0.0964507,0.132911,0.255016,0.194387,0.261538,0.581228,0.905777,1.55364,
0.72 - 0.78,0.0370045,0.0951112,0.143487,0.14092,0.129261,0.186427,0.340186,0.384327,0.461825,0.66897,0.9995,1.4304,
0.78 - 0.83,0.0403022,0.10537,0.14092,0.200916,0.184802,0.251847,0.409985,0.464849,0.580654,0.877821,1.26855,1.74349,
0.83 - 0.87,0.0636314,0.0964507,0.129261,0.184802,0.297541,0.343738,0.472066,0.602654,0.75478,0.952874,1.1104,1.27596,
0.87 - 0.9,0.0736944,0.132911,0.186427,0.251847,0.343738,0.493087,0.642266,0.71334,0.87788,1.24085,1.62623,1.99667,
0.9 - 0.93,0.113698,0.255016,0.340186,0.409985,0.472066,0.642266,1.19567,1.32769,1.56965,2.11213,2.8324,3.8809,
0.93 - 0.95,0.156077,0.194387,0.384327,0.464849,0.602654,0.71334,1.32769,2.02914,2.39855,2.34874,2.7592,3.0567,
0.95 - 0.96,0.18371,0.261538,0.461825,0.580654,0.75478,0.87788,1.56965,2.39855,3.04328,3.10916,3.53497,3.86727,
0.96 - 0.98,0.187824,0.581228,0.66897,0.877821,0.952874,1.24085,2.11213,2.34874,3.10916,4.86654,6.42296,9.08614,
0.98 - 0.99,0.246408,0.905777,0.9995,1.26855,1.1104,1.62623,2.8324,2.7592,3.53497,6.42296,10.0234,15.0479,
0.99 - 1,0.222375,1.55364,1.4304,1.74349,1.27596,1.99667,3.8809,3.0567,3.86727,9.08614,15.0479,26.9395,
