cos #theta_{#pi} ,0.3 - 0.57,0.57 - 0.68,0.68 - 0.75,0.75 - 0.79,0.79 - 0.83,0.83 - 0.86,0.86 - 0.89,0.89 - 0.91,0.91 - 0.93,0.93 - 0.95,0.95 - 0.97,0.97 - 0.98,0.98 - 0.99,0.99 - 1,
0.75 - 0.79,0.106977,0.212844,0.734828,2.37279,1.18217,0.347899,0.254285,0.287831,0.313134,0.309252,0.312609,0.596922,0.566698,0.569188,
0.79 - 0.83,0.157137,0.191483,0.377953,1.18217,3.15774,1.27723,0.451071,0.346499,0.266225,0.256989,0.611696,0.505801,0.538071,0.560318,
0.83 - 0.86,0.15525,0.222903,0.322825,0.347899,1.27723,4.27867,1.62087,0.48966,0.333045,0.423339,0.458448,0.43685,0.624068,0.535542,
0.86 - 0.89,0.232187,0.305452,0.253143,0.254285,0.451071,1.62087,5.63698,2.34049,0.742333,0.259192,0.434588,0.51196,0.582641,0.896642,
0.89 - 0.91,0.206328,0.180864,0.0861096,0.287831,0.346499,0.48966,2.34049,7.1074,3.01973,0.457009,0.541902,0.415387,0.751789,1.76445,
0.91 - 0.93,0.19362,0.259971,0.209947,0.313134,0.266225,0.333045,0.742333,3.01973,7.58496,3.05383,0.803548,0.931935,1.88123,1.57084,
0.93 - 0.95,0.129825,0.283525,0.08939,0.309252,0.256989,0.423339,0.259192,0.457009,3.05383,10.1492,2.88758,1.5905,1.91252,1.46949,
0.95 - 0.97,0.0510722,0.093896,0.133424,0.312609,0.611696,0.458448,0.434588,0.541902,0.803548,2.88758,11.1868,5.19552,2.87693,0.897222,
0.97 - 0.98,0.248918,0.192023,0.432213,0.596922,0.505801,0.43685,0.51196,0.415387,0.931935,1.5905,5.19552,19.3052,9.92481,2.91975,
0.98 - 0.99,0.274093,0.334386,0.840718,0.566698,0.538071,0.624068,0.582641,0.751789,1.88123,1.91252,2.87693,9.92481,37.1826,10.6523,
0.99 - 1,0.29823,0.329178,0.378175,0.569188,0.560318,0.535542,0.896642,1.76445,1.57084,1.46949,0.897222,2.91975,10.6523,62.0828,

Flux covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,0.651443,0.779696,1.15672,1.10865,1.49106,1.69305,2.04525,2.08786,2.28301,2.74388,2.37091,2.45641,4.08239,5.31121,
0.57 - 0.68,0.779696,0.933555,1.38454,1.32706,1.78528,2.02702,2.44983,2.50074,2.73374,3.28614,2.83934,2.94153,4.8937,6.37123,
0.68 - 0.75,1.15672,1.38454,2.05907,1.97496,2.65246,3.01297,3.63196,3.7026,4.04945,4.86236,4.1918,4.31602,7.17694,9.28248,
0.75 - 0.79,1.10865,1.32706,1.97496,1.89614,2.54637,2.89211,3.48215,3.54787,3.87894,4.65912,4.01259,4.12046,6.85674,8.85393,
0.79 - 0.83,1.49106,1.78528,2.65246,2.54637,3.42534,3.88912,4.68718,4.7783,5.22118,6.27721,5.41024,5.56919,9.28362,12.034,
0.83 - 0.86,1.69305,2.02702,3.01297,2.89211,3.88912,4.41743,5.32242,5.42558,5.92963,7.12591,6.13905,6.31444,10.5285,13.6297,
0.86 - 0.89,2.04525,2.44983,3.63196,3.48215,4.68718,5.32242,6.43701,6.5724,7.18031,8.63386,7.45949,7.73063,12.8888,16.7997,
0.89 - 0.91,2.08786,2.50074,3.7026,3.54787,4.7783,5.42558,6.5724,6.72098,7.34516,8.83474,7.65102,7.97833,13.2751,17.3766,
0.91 - 0.93,2.28301,2.73374,4.04945,3.87894,5.22118,5.92963,7.18031,7.34516,8.03827,9.66352,8.3768,8.7548,14.5168,18.9986,
0.93 - 0.95,2.74388,3.28614,4.86236,4.65912,6.27721,7.12591,8.63386,8.83474,9.66352,11.6289,10.0859,10.5578,17.5184,22.9857,
0.95 - 0.97,2.37091,2.83934,4.1918,4.01259,5.41024,6.13905,7.45949,7.65102,8.3768,10.0859,8.78682,9.29599,15.352,20.2897,
0.97 - 0.98,2.45641,2.94153,4.31602,4.12046,5.56919,6.31444,7.73063,7.97833,8.7548,10.5578,9.29599,10.0959,16.5094,22.2093,
0.98 - 0.99,4.08239,4.8937,7.17694,6.85674,9.28362,10.5285,12.8888,13.2751,14.5168,17.5184,15.352,16.5094,27.3199,36.6557,
0.99 - 1,5.31121,6.37123,9.28248,8.85393,12.034,13.6297,16.7997,17.3766,18.9986,22.9857,20.2897,22.2093,36.6557,49.9373,

Theory cross-section covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,0.690363,0.96463,1.3914,1.13203,1.41424,1.40247,1.67346,1.78088,2.14715,2.1623,2.0125,2.43778,3.20983,3.92997,
0.57 - 0.68,0.96463,1.38985,1.97547,1.59252,1.99123,1.95026,2.26649,2.40407,2.86486,2.86676,2.61316,3.13458,4.1068,5.12796,
0.68 - 0.75,1.3914,1.97547,2.89289,2.35505,2.97363,2.95118,3.41366,3.62587,4.40271,4.38853,4.00171,4.76412,6.4214,7.83111,
0.75 - 0.79,1.13203,1.59252,2.35505,1.96153,2.48845,2.45925,2.87772,3.04121,3.69142,3.7081,3.42199,4.07894,5.37116,6.51521,
0.79 - 0.83,1.41424,1.99123,2.97363,2.48845,3.19697,3.18961,3.68967,3.89969,4.75347,4.77228,4.37715,5.15784,6.92175,8.37799,
0.83 - 0.86,1.40247,1.95026,2.95118,2.45925,3.18961,3.45461,3.76207,3.9413,4.96571,5.18846,4.65495,5.39551,7.79957,9.55216,
0.86 - 0.89,1.67346,2.26649,3.41366,2.87772,3.68967,3.76207,4.55755,4.80104,5.88588,6.00964,5.6649,6.81696,9.10676,10.9072,
0.89 - 0.91,1.78088,2.40407,3.62587,3.04121,3.89969,3.9413,4.80104,5.15379,6.26503,6.32545,5.96643,7.2615,9.72179,11.599,
0.91 - 0.93,2.14715,2.86486,4.40271,3.69142,4.75347,4.96571,5.88588,6.26503,7.91005,8.06154,7.57298,9.02624,12.5508,14.8009,
0.93 - 0.95,2.1623,2.86676,4.38853,3.7081,4.77228,5.18846,6.00964,6.32545,8.06154,8.51418,7.94509,9.44836,13.2926,15.951,
0.95 - 0.97,2.0125,2.61316,4.00171,3.42199,4.37715,4.65495,5.6649,5.96643,7.57298,7.94509,7.64399,9.22048,12.4647,14.7711,
0.97 - 0.98,2.43778,3.13458,4.76412,4.07894,5.15784,5.39551,6.81696,7.2615,9.02624,9.44836,9.22048,11.5946,15.03,17.7902,
0.98 - 0.99,3.20983,4.1068,6.4214,5.37116,6.92175,7.79957,9.10676,9.72179,12.5508,13.2926,12.4647,15.03,21.9753,26.1092,
0.99 - 1,3.92997,5.12796,7.83111,6.51521,8.37799,9.55216,10.9072,11.599,14.8009,15.951,14.7711,17.7902,26.1092,31.8108,

FSI covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,0.0597428,0.0408611,0.0743962,0.0643375,0.0420381,0.0692942,0.048407,0.0480138,0.0928961,0.146632,0.167866,0.0373467,-0.000886219,0.499352,
0.57 - 0.68,0.0408611,0.0517463,0.056451,0.0544142,0.0127988,0.0373651,0.0298416,0.0189707,0.0123498,0.0761491,0.031391,-0.0559868,-0.0195885,0.16291,
0.68 - 0.75,0.0743962,0.056451,0.143048,0.0942895,0.0471971,0.135296,0.0711391,0.0310884,0.102425,0.197049,0.100358,-0.0263065,-0.019497,0.27725,
0.75 - 0.79,0.0643375,0.0544142,0.0942895,0.123764,0.0899617,0.0742885,0.0694207,0.0488169,0.0704215,0.184593,0.204283,0.0910346,0.0312629,0.536103,
0.79 - 0.83,0.0420381,0.0127988,0.0471971,0.0899617,0.192135,0.0701159,0.112046,0.0614687,0.176175,0.217324,0.362713,0.372325,0.126858,1.14296,
0.83 - 0.86,0.0692942,0.0373651,0.135296,0.0742885,0.0701159,0.251219,0.0762224,0.00608293,0.0494223,0.192757,0.290081,0.15655,-0.102415,0.154278,
0.86 - 0.89,0.048407,0.0298416,0.0711391,0.0694207,0.112046,0.0762224,0.144193,0.0447327,0.131069,0.198445,0.182627,0.145351,0.0903902,0.666762,
0.89 - 0.91,0.0480138,0.0189707,0.0310884,0.0488169,0.0614687,0.00608293,0.0447327,0.104757,0.148052,0.162666,0.255723,0.137698,0.0857401,0.81816,
0.91 - 0.93,0.0928961,0.0123498,0.102425,0.0704215,0.176175,0.0494223,0.131069,0.148052,0.966495,0.517853,0.56909,0.479587,0.0905317,2.36044,
0.93 - 0.95,0.146632,0.0761491,0.197049,0.184593,0.217324,0.192757,0.198445,0.162666,0.517853,0.663966,0.660992,0.435307,0.0669563,1.92993,
0.95 - 0.97,0.167866,0.031391,0.100358,0.204283,0.362713,0.290081,0.182627,0.255723,0.56909,0.660992,2.17969,1.37289,-0.0113998,3.88382,
0.97 - 0.98,0.0373467,-0.0559868,-0.0263065,0.0910346,0.372325,0.15655,0.145351,0.137698,0.479587,0.435307,1.37289,1.59204,0.34697,3.09139,
0.98 - 0.99,-0.000886219,-0.0195885,-0.019497,0.0312629,0.126858,-0.102415,0.0903902,0.0857401,0.0905317,0.0669563,-0.0113998,0.34697,1.21253,1.05994,
0.99 - 1,0.499352,0.16291,0.27725,0.536103,1.14296,0.154278,0.666762,0.81816,2.36044,1.92993,3.88382,3.09139,1.05994,14.4215,

Detector covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,0.112675,0.0990013,0.164885,0.16378,0.124891,0.133346,0.148384,0.164097,0.230355,0.195701,0.0728885,0.353175,0.208677,-0.336775,
0.57 - 0.68,0.0990013,0.147303,0.179576,0.1967,0.159884,0.149182,0.176732,0.205123,0.243471,0.225191,0.0920582,0.285155,0.329011,-0.276254,
0.68 - 0.75,0.164885,0.179576,0.362738,0.324477,0.228783,0.233424,0.283602,0.28005,0.372175,0.353573,0.112743,0.394637,0.114732,-0.872351,
0.75 - 0.79,0.16378,0.1967,0.324477,0.359116,0.278183,0.259283,0.319483,0.348914,0.453751,0.432937,0.184847,0.56703,0.427946,-0.433819,
0.79 - 0.83,0.124891,0.159884,0.228783,0.278183,0.263681,0.229191,0.275399,0.290484,0.353801,0.34687,0.163025,0.467578,0.463739,-0.00373126,
0.83 - 0.86,0.133346,0.149182,0.233424,0.259283,0.229191,0.270634,0.297935,0.27936,0.345195,0.354786,0.168643,0.517766,0.513073,0.107337,
0.86 - 0.89,0.148384,0.176732,0.283602,0.319483,0.275399,0.297935,0.461857,0.403094,0.45833,0.471161,0.242687,0.651924,0.59469,0.135051,
0.89 - 0.91,0.164097,0.205123,0.28005,0.348914,0.290484,0.27936,0.403094,0.482794,0.545096,0.514804,0.289032,0.746303,0.774652,0.0568009,
0.91 - 0.93,0.230355,0.243471,0.372175,0.453751,0.353801,0.345195,0.45833,0.545096,0.801279,0.718929,0.359142,1.05855,0.88939,-0.0812549,
0.93 - 0.95,0.195701,0.225191,0.353573,0.432937,0.34687,0.354786,0.471161,0.514804,0.718929,0.863145,0.453805,0.956451,1.03345,0.315237,
0.95 - 0.97,0.0728885,0.0920582,0.112743,0.184847,0.163025,0.168643,0.242687,0.289032,0.359142,0.453805,0.387677,0.575761,0.849428,0.656356,
0.97 - 0.98,0.353175,0.285155,0.394637,0.56703,0.467578,0.517766,0.651924,0.746303,1.05855,0.956451,0.575761,2.21014,1.90825,0.6606,
0.98 - 0.99,0.208677,0.329011,0.114732,0.427946,0.463739,0.513073,0.59469,0.774652,0.88939,1.03345,0.849428,1.90825,3.55973,2.98213,
0.99 - 1,-0.336775,-0.276254,-0.872351,-0.433819,-0.00373126,0.107337,0.135051,0.0568009,-0.0812549,0.315237,0.656356,0.6606,2.98213,8.28047,
